AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
-6.30,-11.72,7.00,-0.38,-1.71,-1.72,1721027681274
-5.83,-9.86,8.45,-0.52,-1.42,-1.26,1721027681277
-7.04,-9.57,11.03,-0.66,-0.93,-0.87,1721027681279
-6.49,-8.58,11.08,-0.68,-0.32,-0.56,1721027681282
-6.90,-5.39,13.17,-0.74,0.35,-0.31,1721027681285
-8.05,-2.86,15.27,-0.76,0.96,-0.06,1721027681288
-9.54,-0.89,19.66,-0.83,1.22,0.96,1721027681299
-7.73,-5.44,15.35,-0.31,0.71,1.31,1721027681302
-7.85,-5.09,12.71,0.01,0.38,1.46,1721027681305
-6.79,-1.90,8.26,0.73,-0.18,1.59,1721027681308
-5.11,-1.01,4.31,1.29,-0.73,1.55,1721027681311
-3.41,0.34,3.95,1.47,-1.21,1.49,1721027681313
-1.45,0.98,5.33,1.30,-1.65,1.50,1721027681316
-0.05,2.19,3.87,0.80,-1.98,1.57,1721027681319
0.83,2.39,0.29,0.28,-2.14,1.60,1721027681322
6.78,-9.02,7.18,-0.76,-1.62,1.45,1721027681333
7.63,-8.67,7.28,-0.70,-1.38,1.39,1721027681336
8.75,-7.86,10.41,-0.57,-0.95,1.30,1721027681339
10.33,-5.02,14.83,-0.60,-0.44,1.21,1721027681342
11.19,-0.25,13.69,-0.67,0.07,1.03,1721027681345
11.68,0.42,14.26,-0.61,0.54,0.81,1721027681347
12.11,-4.00,17.80,-0.63,0.98,0.59,1721027681350
11.71,-7.24,17.57,-0.60,1.41,0.38,1721027681353
11.54,-8.13,17.42,-0.32,1.73,0.20,1721027681356
6.24,-1.63,10.50,0.74,1.41,-0.73,1721027681367
5.18,-0.53,8.10,0.72,1.10,-0.88,1721027681370
3.24,-0.93,5.51,0.67,0.54,-1.09,1721027681373
1.57,-1.43,3.59,0.54,-0.01,-1.29,1721027681376
0.26,-2.23,2.59,0.42,-0.49,-1.50,1721027681379
-0.50,-3.27,2.76,0.33,-0.88,-1.67,1721027681381
-1.01,-3.77,4.14,0.26,-1.13,-1.80,1721027681384
-1.30,-3.80,6.51,0.24,-1.22,-1.82,1721027681387
-1.17,-3.18,10.58,0.21,-1.13,-1.73,1721027681390
-2.13,4.79,20.25,-0.52,0.26,-0.99,1721027681401
-2.06,-0.98,19.36,-0.80,0.89,-0.90,1721027681404
-2.94,-3.36,21.21,-0.65,1.39,-0.74,1721027681407
-5.62,-4.87,19.53,-0.06,1.59,-0.63,1721027681410
-5.05,-5.28,15.82,0.49,1.59,-0.57,1721027681413
-7.85,-1.88,16.55,0.89,1.38,-0.57,1721027681415
-8.04,1.62,13.88,0.97,0.94,-0.59,1721027681418
-7.86,4.00,7.70,0.76,0.46,-0.60,1721027681421
-7.78,1.63,4.04,0.70,-0.01,-0.58,1721027681424
-6.13,-4.03,1.80,0.62,-1.35,-0.29,1721027681435
-5.55,-1.83,0.85,0.59,-1.53,-0.21,1721027681438
-4.98,-0.92,1.40,0.53,-1.57,-0.16,1721027681441
-4.08,-1.01,2.86,0.42,-1.50,-0.10,1721027681444
-3.16,-0.76,3.67,0.27,-1.37,0.03,1721027681447
-2.41,0.36,2.89,0.11,-1.16,0.17,1721027681449
-1.88,0.91,1.81,-0.01,-0.90,0.28,1721027681452
-1.31,0.18,1.77,-0.10,-0.61,0.37,1721027681455
-0.50,-1.39,2.29,-0.17,-0.33,0.46,1721027681458
0.48,-5.09,4.03,-0.38,0.49,0.66,1721027681469
0.51,-6.21,5.04,-0.47,0.66,0.66,1721027681472
0.56,-7.04,7.18,-0.67,0.79,0.68,1721027681475
0.93,-6.88,12.27,-1.07,0.91,0.73,1721027681478
0.72,-6.47,15.94,-1.60,0.96,0.78,1721027681481
0.74,-1.38,15.34,-1.79,0.85,0.77,1721027681483
0.55,0.39,17.95,-1.54,0.60,0.66,1721027681486
0.89,-3.92,25.64,-1.09,0.21,0.53,1721027681489
1.42,-6.87,29.12,-0.68,-0.25,0.44,1721027681492
4.34,-3.16,16.81,1.43,-1.24,0.13,1721027681503
4.40,-0.33,10.58,1.80,-1.36,0.01,1721027681506
4.62,1.63,6.83,1.85,-1.43,-0.13,1721027681509
4.95,3.37,3.22,1.58,-1.47,-0.23,1721027681512
5.20,3.50,-0.54,1.21,-1.48,-0.27,1721027681515
5.67,1.45,0.79,0.81,-1.44,-0.29,1721027681517
6.17,-3.04,4.16,0.40,-1.27,-0.32,1721027681520
5.91,-6.94,6.14,0.01,-0.96,-0.37,1721027681523
5.81,-9.15,8.06,-0.26,-0.50,-0.42,1721027681526
4.84,2.14,12.20,-1.16,1.32,-0.52,1721027681537
4.57,7.07,16.17,-1.06,1.77,-0.59,1721027681540
3.36,5.27,22.08,-1.00,2.17,-0.63,1721027681543
1.50,1.92,24.04,-0.99,2.50,-0.71,1721027681546
-1.55,-5.97,25.77,-0.63,2.45,-0.82,1721027681549
-4.55,-7.68,24.60,-0.28,2.05,-0.96,1721027681551
-5.87,-7.18,20.39,0.41,1.35,-1.07,1721027681554
-6.91,-6.27,15.36,1.12,0.55,-1.19,1721027681557
-1.67,-2.87,9.31,1.42,0.07,-1.26,1721027681560
-3.69,-1.92,3.91,1.64,-1.82,-1.44,1721027681571
-3.85,-1.83,2.38,1.50,-1.96,-1.40,1721027681574
-4.03,-0.32,2.26,1.29,-1.94,-1.27,1721027681577
-3.91,0.38,1.57,1.09,-1.79,-1.06,1721027681580
-3.73,2.32,1.00,0.86,-1.52,-0.78,1721027681583
-3.61,3.29,-0.21,0.70,-1.14,-0.49,1721027681585
-3.44,3.61,-0.54,0.57,-0.71,-0.24,1721027681588
-3.36,3.06,-0.36,0.50,-0.24,-0.04,1721027681591
-3.23,2.46,-0.24,0.46,0.08,0.06,1721027681594
-1.90,-2.58,-0.57,0.06,1.22,0.62,1721027681605
-1.79,-2.77,-0.02,-0.19,1.23,0.77,1721027681608
-1.69,-3.11,1.13,-0.48,1.12,0.83,1721027681611
-1.94,-4.12,3.34,-0.82,0.89,0.81,1721027681614
-2.02,-5.58,5.09,-1.20,0.59,0.76,1721027681617
-1.33,-8.09,6.42,-1.64,0.21,0.70,1721027681619
-0.94,-10.58,10.74,-2.02,-0.25,0.71,1721027681622
-0.60,-11.03,13.06,-2.14,-0.57,0.74,1721027681625
0.05,-7.44,15.36,-2.07,-0.97,0.66,1721027681628
8.52,-5.94,33.12,-0.69,-0.32,0.30,1721027681639
6.09,-0.22,33.87,-0.54,0.25,0.41,1721027681642
5.24,-1.62,33.80,0.07,0.71,0.35,1721027681645
5.54,-2.06,30.72,0.56,0.96,0.22,1721027681648
4.28,-1.54,23.85,1.04,0.85,0.20,1721027681651
3.05,1.12,16.41,1.41,0.54,0.08,1721027681654
2.86,4.49,11.43,1.55,0.13,-0.13,1721027681657
2.71,7.13,7.78,1.54,-0.36,-0.34,1721027681659
2.22,8.00,3.73,1.38,-0.81,-0.56,1721027681662
2.01,7.19,1.92,1.23,-1.07,-0.69,1721027681665
2.24,5.34,0.78,0.93,-1.38,-0.83,1721027681668
1.85,1.44,3.17,0.01,-1.47,-0.85,1721027681679
1.83,1.33,4.33,-0.10,-1.17,-0.81,1721027681682
1.85,1.15,4.87,-0.15,-0.78,-0.72,1721027681685
1.83,0.52,5.31,-0.16,-0.32,-0.57,1721027681688
1.69,-1.23,5.24,-0.17,0.15,-0.40,1721027681691
1.61,-2.85,5.14,-0.19,0.60,-0.24,1721027681693
1.47,-3.82,4.93,-0.21,0.86,-0.16,1721027681696
1.43,-4.43,4.94,-0.28,1.20,-0.08,1721027681699
1.37,-4.61,5.02,-0.39,1.41,-0.01,1721027681702
-0.13,0.94,11.31,-1.09,1.31,0.14,1721027681713
-0.11,3.49,15.84,-1.03,1.03,0.07,1721027681716
-0.69,2.06,19.58,-0.78,0.56,-0.10,1721027681719
-1.51,-1.74,18.73,-0.52,0.08,-0.35,1721027681722
-0.91,-4.02,18.04,-0.21,-0.35,-0.51,1721027681725
-0.65,-6.99,18.92,0.15,-0.75,-0.62,1721027681727
0.27,-7.51,18.39,0.37,-0.93,-0.66,1721027681730
0.99,-7.51,15.48,0.60,-1.06,-0.72,1721027681733
1.47,-6.44,12.44,0.77,-1.05,-0.70,1721027681736
0.41,-9.19,10.88,0.52,-0.34,-0.37,1721027681747
0.36,-10.12,11.75,0.32,0.01,-0.34,1721027681750
0.77,-9.30,12.43,0.15,0.41,-0.26,1721027681753
-0.34,-7.67,12.90,0.08,0.80,-0.20,1721027681756
-1.22,-2.15,10.10,0.21,1.05,-0.19,1721027681759
-1.22,1.07,8.44,0.41,1.11,-0.18,1721027681761
-1.58,2.25,9.73,0.75,1.07,-0.07,1721027681764
-1.41,4.72,14.83,0.71,0.89,0.11,1721027681767
-1.76,8.35,11.53,0.43,0.55,0.27,1721027681770
-0.33,1.85,13.19,0.10,-0.68,0.25,1721027681781
0.48,3.50,11.91,0.41,-0.86,0.19,1721027681784
1.69,3.66,13.68,0.67,-0.92,0.14,1721027681787
2.39,5.79,13.29,0.68,-0.89,0.15,1721027681790
2.49,8.23,8.64,0.68,-0.80,0.15,1721027681793
2.65,8.79,6.97,0.69,-0.75,0.14,1721027681795
3.16,8.08,5.95,0.66,-0.66,0.15,1721027681798
3.41,7.50,2.98,0.58,-0.60,0.18,1721027681801
3.77,6.68,0.32,0.56,-0.57,0.24,1721027681804
6.07,5.47,-1.98,0.18,-0.54,0.44,1721027681815
6.67,4.54,-0.51,-0.18,-0.46,0.41,1721027681818
7.44,3.26,1.02,-0.61,-0.33,0.32,1721027681821
8.54,0.96,5.24,-1.02,-0.15,0.15,1721027681824
8.45,-3.97,10.55,-1.38,0.13,-0.07,1721027681827
8.28,-5.42,11.41,-1.52,0.39,-0.25,1721027681829
8.40,-4.03,10.98,-1.45,0.83,-0.50,1721027681832
6.55,-3.73,17.08,-1.21,1.28,-0.59,1721027681835
8.55,-2.06,25.00,-0.97,1.68,-0.56,1721027681838
0.18,-5.52,19.43,0.46,2.02,-0.85,1721027681849
-0.32,-0.12,15.47,0.49,1.60,-0.88,1721027681852
-1.59,0.56,11.43,0.74,0.92,-0.95,1721027681855
-1.65,2.55,7.13,0.73,0.17,-1.11,1721027681858
-1.81,3.03,5.44,0.71,-0.28,-1.25,1721027681861
-2.32,3.25,3.34,0.77,-0.89,-1.46,1721027681863
