AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
-0.72,1.42,8.83,-0.11,0.16,0.61,1720971585590
-0.39,1.63,8.88,-0.13,0.15,0.68,1720971585593
1.36,2.33,10.99,-0.03,-0.03,0.67,1720971585603
1.74,3.29,10.42,0.02,-0.10,0.61,1720971585606
2.16,3.55,10.19,0.09,-0.19,0.53,1720971585609
2.92,3.52,8.42,0.11,-0.45,0.23,1720971585619
2.96,3.31,8.32,0.08,-0.49,0.13,1720971585622
3.02,3.17,8.44,0.04,-0.49,0.05,1720971585625
2.67,2.44,10.26,-0.09,-0.16,-0.07,1720971585635
2.47,2.08,10.97,-0.11,0.04,-0.07,1720971585638
2.27,1.87,11.52,-0.11,0.25,-0.06,1720971585641
0.83,1.60,11.27,0.07,0.79,-0.03,1720971585651
0.28,2.04,10.56,0.11,0.82,-0.03,1720971585654
-0.35,2.67,9.84,0.13,0.78,-0.03,1720971585657
-2.03,4.44,8.06,-0.04,0.13,-0.13,1720971585667
-2.22,3.68,7.98,-0.07,-0.14,-0.13,1720971585670
-2.26,3.00,8.52,-0.06,-0.39,-0.12,1720971585673
-1.51,3.59,10.31,0.09,-0.69,-0.03,1720971585683
-1.17,3.92,9.98,0.06,-0.63,0.05,1720971585686
-0.92,3.91,9.38,0.02,-0.54,0.16,1720971585689
0.12,2.73,8.47,-0.06,-0.19,0.37,1720971585699
0.54,2.68,8.59,-0.09,-0.10,0.40,1720971585702
0.93,2.81,9.12,-0.11,-0.02,0.41,1720971585705
-0.50,3.11,9.05,-0.03,-0.18,0.38,1720971585715
1.53,3.64,10.86,-0.04,-0.28,0.45,1720971585718
2.15,4.30,10.46,-0.06,-0.30,0.47,1720971585721
3.45,3.80,8.96,0.12,-0.14,0.17,1720971585731
3.40,4.26,8.35,0.18,-0.09,0.10,1720971585734
3.27,4.44,8.28,0.19,-0.07,0.05,1720971585737
2.14,4.35,8.79,-0.06,0.24,-0.18,1720971585747
1.72,3.52,9.66,-0.11,0.34,-0.19,1720971585750
1.43,3.06,9.76,-0.12,0.40,-0.19,1720971585753
0.06,3.16,10.82,0.09,0.63,-0.09,1720971585763
-0.25,3.51,10.92,0.12,0.65,-0.07,1720971585766
-0.59,3.54,10.95,0.10,0.63,-0.05,1720971585769
-1.04,3.39,10.44,0.06,0.55,-0.02,1720971585772
-1.45,3.39,9.80,0.03,0.43,-0.00,1720971585775
-1.84,3.20,9.26,0.03,0.27,-0.00,1720971585778
-1.99,2.78,8.80,0.06,0.11,-0.02,1720971585781
-1.93,2.62,8.51,0.07,-0.00,-0.02,1720971585784
-1.11,2.74,9.51,0.04,-0.38,0.09,1720971585794
