AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
-0.03,0.56,10.31,0.01,0.48,-0.14,1721026732716
-0.23,0.20,9.47,0.01,0.27,-0.18,1721026732719
-0.51,0.00,8.59,0.02,0.02,-0.21,1721026732722
-0.72,-0.33,8.12,0.03,-0.20,-0.24,1721026732725
-0.84,-0.68,8.09,0.04,-0.37,-0.27,1721026732727
-0.80,-1.00,8.24,0.03,-0.45,-0.29,1721026732730
-0.19,-1.30,10.04,-0.12,-0.30,-0.14,1721026732741
-0.08,-1.74,10.74,-0.14,-0.12,-0.07,1721026732744
-0.03,-1.56,10.80,-0.13,0.08,-0.01,1721026732747
0.12,-1.10,10.77,-0.07,0.26,0.04,1721026732750
0.44,-0.65,11.17,-0.03,0.41,0.10,1721026732753
0.49,-0.14,11.47,-0.03,0.48,0.15,1721026732755
0.13,-0.36,10.28,-0.10,0.35,0.10,1721026732766
0.22,-0.50,9.53,-0.10,0.15,0.07,1721026732769
0.35,-0.32,9.09,-0.06,-0.07,0.03,1721026732772
0.40,-0.54,9.68,-0.03,-0.26,-0.01,1721026732775
0.59,-0.53,10.45,-0.03,-0.38,-0.07,1721026732778
0.66,-0.13,10.22,-0.05,-0.43,-0.11,1721026732780
0.84,0.13,9.89,-0.05,-0.43,-0.17,1721026732783
0.93,-0.05,10.13,-0.06,-0.07,-0.09,1721026732794
0.90,-0.19,10.36,-0.10,0.11,-0.08,1721026732797
0.87,-0.51,10.51,-0.15,0.28,-0.05,1721026732800
0.83,-0.60,10.79,-0.18,0.42,-0.00,1721026732803
0.80,-0.63,11.02,-0.19,0.49,0.03,1721026732806
0.58,-0.59,11.51,-0.19,0.56,0.07,1721026732808
-0.19,-1.05,10.44,-0.07,0.27,-0.02,1721026732819
-0.23,-1.24,9.95,-0.06,0.06,-0.06,1721026732822
-0.20,-1.24,9.51,-0.07,-0.13,-0.09,1721026732825
-0.17,-1.47,9.88,-0.09,-0.29,-0.13,1721026732828
-0.08,-1.74,10.26,-0.12,-0.35,-0.14,1721026732831
0.04,-1.94,10.42,-0.16,-0.39,-0.16,1721026732833
0.65,-2.14,11.39,-0.11,-0.08,0.01,1721026732844
0.68,-1.47,11.78,-0.08,0.09,0.02,1721026732847
0.83,-1.13,11.94,-0.08,0.26,0.02,1721026732850
0.93,-1.06,11.87,-0.09,0.36,0.02,1721026732853
0.95,-0.88,11.52,-0.11,0.46,0.06,1721026732856
0.85,-0.70,11.01,-0.10,0.50,0.08,1721026732858
0.51,-1.35,9.89,-0.04,0.14,-0.00,1721026732869
0.63,-1.53,9.89,-0.05,-0.04,-0.02,1721026732872
0.71,-1.71,10.43,-0.07,-0.19,-0.04,1721026732875
0.72,-1.70,10.72,-0.08,-0.25,-0.06,1721026732878
0.82,-1.59,10.77,-0.08,-0.30,-0.12,1721026732881
1.06,-1.83,10.86,-0.04,-0.29,-0.16,1721026732883
1.26,-1.95,10.89,0.02,-0.25,-0.16,1721026732886
1.29,-0.06,11.27,0.03,0.24,-0.10,1721026732897
1.35,-0.11,11.30,0.02,0.37,-0.07,1721026732900
1.27,-0.03,11.21,0.01,0.47,-0.02,1721026732903
1.24,0.08,11.05,0.01,0.51,0.01,1721026732906
0.93,0.08,10.96,0.04,0.53,0.01,1721026732909
0.71,-0.10,11.05,0.05,0.50,-0.01,1721026732911
0.21,1.31,10.70,0.10,0.09,-0.21,1721026732922
0.06,1.42,10.97,0.04,-0.01,-0.24,1721026732925
-0.04,1.19,11.04,0.01,-0.06,-0.25,1721026732928
-0.19,0.38,11.06,-0.02,-0.10,-0.26,1721026732931
-0.11,-0.66,11.04,-0.01,-0.11,-0.25,1721026732934
-0.11,-1.30,10.92,0.03,-0.08,-0.20,1721026732936
0.07,-0.97,9.69,0.11,0.17,-0.03,1721026732947
0.23,-1.11,9.02,0.10,0.22,0.00,1721026732950
0.31,-1.18,8.49,0.08,0.23,0.02,1721026732953
0.39,-1.16,7.81,0.06,0.23,0.04,1721026732956
0.47,-1.33,7.47,0.04,0.20,0.04,1721026732959
0.63,-1.83,7.69,-0.01,0.16,0.02,1721026732961
1.20,-1.23,9.87,-0.05,0.05,-0.08,1721026732972
1.37,-0.53,11.09,-0.04,0.08,-0.11,1721026732975
1.45,0.00,11.29,-0.04,0.11,-0.12,1721026732978
1.47,0.23,11.42,-0.03,0.16,-0.13,1721026732981
1.45,-0.23,11.62,-0.01,0.21,-0.12,1721026732984
1.18,-0.65,11.68,-0.01,0.26,-0.12,1721026732986
0.91,-0.61,11.28,0.01,0.31,-0.15,1721026732989
0.32,-0.13,10.77,-0.04,0.29,-0.15,1721026733000
